fips,usdm_current_category,usdm_current_score,usdm_pct_d0_plus,usdm_pct_d2_plus,drought_frequency_score,usdm_peak_drought_d3d4_pct,usdm_as_of
48133,D1,57.9,194.7,0.0,,,20260915
48135,D1,62.1,203.5,3.5,,,20260915
48137,D0,4.9,24.4,0.0,,,20260915
48139,D3,147.3,332.9,132.9,,,20260915
48141,D1,46.5,166.1,0.0,,,20260915
48143,D2,113.5,289.1,89.1,,,20260915
48145,D2,66.6,211.0,11.0,,,20260915
48147,D3,204.0,404.0,204.0,,,20260915
48149,D2,79.6,232.6,32.6,,,20260915
48151,D2,87.0,245.0,45.0,,,20260915
48153,D3,195.8,394.7,194.7,,,20260915
48155,D4,235.2,433.9,233.9,,,20260915
48157,D0,20.1,100.1,0.0,,,20260915
48159,D3,128.9,311.2,111.2,,,20260915
48161,D1,54.6,186.1,0.9,,,20260915
48163,D1,49.1,172.7,0.0,,,20260915
48165,D2,79.8,233.0,33.0,,,20260915
48167,D1,53.9,184.8,0.0,,,20260915
48169,D3,160.9,351.2,151.2,,,20260915
48171,D0,20.0,100.0,0.0,,,20260915
48173,D1,60.0,200.0,0.0,,,20260915
48175,D2,120.0,300.0,100.0,,,20260915
48177,D2,69.3,215.5,15.5,,,20260915
48179,D4,260.2,459.6,259.6,,,20260915
48181,D3,179.4,373.9,173.9,,,20260915
48183,D2,95.8,259.7,59.7,,,20260915
48185,D1,31.0,127.5,0.0,,,20260915
48187,D1,25.1,112.9,0.0,,,20260915
48189,D3,183.6,379.6,179.6,,,20260915
48191,D3,134.4,317.9,118.0,,,20260915
48193,D2,106.8,278.0,78.0,,,20260915
48195,D4,252.7,452.7,252.7,,,20260915
48197,D4,247.5,446.1,246.1,,,20260915
48199,None,0.6,3.0,0.0,,,20260915
48201,D1,26.6,116.5,0.0,,,20260915
48203,D2,120.0,300.0,100.0,,,20260915
48205,D4,211.3,411.2,211.2,,,20260915
48207,D2,69.5,215.9,15.9,,,20260915
48209,D1,42.1,155.3,0.0,,,20260915
48211,D4,234.0,434.0,234.0,,,20260915
48213,D1,61.0,201.7,1.7,,,20260915
48215,D3,98.7,258.8,58.8,,,20260915
48217,D2,95.0,258.4,58.4,,,20260915
48219,D3,126.2,307.0,107.0,,,20260915
48221,D3,157.3,346.7,146.7,,,20260915
48223,D3,135.3,318.1,118.2,,,20260915
48225,D1,49.2,168.2,0.0,,,20260915
48227,D1,60.0,200.0,0.0,,,20260915
48229,D2,90.5,250.5,50.5,,,20260915
48231,D3,115.6,285.3,85.3,,,20260915
48233,D4,261.1,461.1,261.1,,,20260915
48235,D1,52.6,181.6,0.0,,,20260915
48237,D3,132.7,312.5,112.5,,,20260915
48239,D2,75.8,218.6,41.8,,,20260915
48241,D1,26.8,113.2,0.0,,,20260915
48243,D1,48.9,171.2,1.9,,,20260915
48245,D0,15.2,75.5,0.0,,,20260915
48247,D3,113.6,284.7,84.7,,,20260915
48249,D2,126.1,307.6,107.6,,,20260915
48251,D3,163.1,353.8,153.8,,,20260915
48253,D2,116.1,293.4,93.4,,,20260915
48255,D2,97.1,261.8,61.8,,,20260915
48257,D3,138.8,319.9,119.9,,,20260915
48259,D0,20.0,100.0,0.0,,,20260915
48261,D3,201.0,399.6,199.6,,,20260915
48263,D3,147.4,334.3,134.3,,,20260915
48265,D0,14.7,73.6,0.0,,,20260915
48267,D0,9.1,45.5,0.0,,,20260915
48269,D3,180.7,373.8,173.8,,,20260915
48271,D0,5.5,27.6,0.0,,,20260915
48273,D3,183.1,378.8,178.8,,,20260915
48275,D3,117.9,292.7,92.7,,,20260915
48277,D3,200.0,400.0,200.0,,,20260915
48279,D3,200.0,400.0,200.0,,,20260915
48281,D1,60.0,200.0,0.0,,,20260915
48283,D2,68.1,213.6,13.6,,,20260915
48285,D2,120.0,300.0,100.0,,,20260915
48287,D1,60.0,200.0,0.0,,,20260915
48289,D1,48.1,170.4,0.0,,,20260915
48291,D1,30.4,117.7,0.0,,,20260915
48293,D1,62.3,203.9,3.9,,,20260915
48295,D3,156.9,345.8,145.8,,,20260915
48297,D2,118.4,297.3,97.3,,,20260915
48299,D0,20.4,101.1,0.0,,,20260915
48301,D2,75.2,225.3,25.3,,,20260915
48303,D3,128.6,310.7,110.7,,,20260915
48305,D2,120.0,300.0,100.0,,,20260915
48307,D1,41.0,152.6,0.0,,,20260915
48309,D2,98.8,264.7,64.7,,,20260915
48311,D2,117.2,295.2,95.2,,,20260915
48313,D1,60.0,200.0,0.0,,,20260915
48315,D2,115.2,292.1,92.0,,,20260915
48317,D1,56.2,190.4,0.0,,,20260915
48319,D0,20.0,100.0,0.0,,,20260915
48321,D1,36.1,140.4,0.0,,,20260915
48323,D1,37.0,142.4,0.0,,,20260915
48325,D1,27.4,118.5,0.0,,,20260915
48327,D1,26.7,116.7,0.0,,,20260915
48329,D2,107.8,279.7,79.7,,,20260915
48331,D1,60.0,200.0,0.0,,,20260915
48333,D1,60.3,200.4,0.5,,,20260915
48335,D1,60.0,200.0,0.0,,,20260915
48337,D3,200.0,400.0,200.0,,,20260915
48339,D0,16.0,80.0,0.0,,,20260915
48341,D4,215.8,414.0,214.0,,,20260915
48343,D2,114.0,290.0,90.0,,,20260915
48345,D4,186.7,380.6,180.6,,,20260915
48347,D2,60.1,189.3,21.8,,,20260915
48349,D2,98.1,263.5,63.5,,,20260915
48351,D1,50.0,174.9,0.0,,,20260915
48353,D1,60.0,200.0,0.0,,,20260915
48355,D3,155.7,344.7,144.7,,,20260915
48357,D4,241.2,438.5,238.5,,,20260915
48359,D4,231.2,431.2,231.2,,,20260915
48361,D1,30.2,111.8,0.0,,,20260915
48363,D2,92.6,254.3,54.3,,,20260915
48365,D2,120.0,300.0,100.0,,,20260915
48367,D3,169.3,361.7,161.7,,,20260915
48369,D3,154.7,343.4,143.3,,,20260915
48371,D1,33.5,133.9,0.0,,,20260915
48373,D0,3.3,16.5,0.0,,,20260915
48375,D4,215.7,415.7,215.7,,,20260915
48377,D2,88.7,245.8,51.8,,,20260915
48379,D2,68.3,213.9,13.9,,,20260915
48381,D4,253.8,453.8,253.8,,,20260915
48383,D2,72.4,220.7,20.7,,,20260915
48385,None,0.0,0.0,0.0,,,20260915
48387,D3,147.5,334.4,134.4,,,20260915
48389,D1,65.4,209.0,9.0,,,20260915
48391,D2,120.0,300.0,100.0,,,20260915
48393,D4,258.6,458.6,258.6,,,20260915
48395,D1,60.0,200.0,0.0,,,20260915
48397,D2,96.6,261.0,61.0,,,20260915
48399,D1,60.0,200.0,0.0,,,20260915
48401,D2,116.0,293.3,93.3,,,20260915
48403,D1,60.0,200.0,0.0,,,20260915
48405,D1,47.6,169.0,0.0,,,20260915
48407,D1,33.2,125.8,0.0,,,20260915
48409,D2,120.0,300.0,100.0,,,20260915
48411,D1,33.6,133.9,0.0,,,20260915
48413,D0,20.0,100.0,0.0,,,20260915
48415,D2,71.1,218.5,18.5,,,20260915
48417,D2,87.6,245.9,46.0,,,20260915
48419,D2,80.5,234.1,34.1,,,20260915
48421,D3,144.5,330.5,130.5,,,20260915
48423,D1,62.6,204.4,4.4,,,20260915
48425,D3,139.7,324.6,124.6,,,20260915
48427,D1,60.0,200.0,0.0,,,20260915
48429,D1,60.0,200.0,0.0,,,20260915
48431,D1,60.0,200.0,0.0,,,20260915
48433,D2,120.0,300.0,100.0,,,20260915
48435,D0,19.0,94.9,0.0,,,20260915
48437,D4,238.5,438.5,238.5,,,20260915
48439,D3,198.0,397.5,197.5,,,20260915
48441,D2,70.7,217.9,17.9,,,20260915
48443,D1,53.7,184.2,0.0,,,20260915
48445,D2,119.9,299.8,99.8,,,20260915
48447,D1,60.0,200.0,0.0,,,20260915
48449,D2,120.0,300.0,100.0,,,20260915
48451,D1,55.2,188.1,0.0,,,20260915
48453,D2,81.2,235.3,35.3,,,20260915
48455,D1,25.6,99.9,0.0,,,20260915
48457,None,1.6,8.0,0.0,,,20260915
48459,D2,111.4,285.7,85.7,,,20260915
48461,D2,103.8,270.1,71.4,,,20260915
48463,D0,7.8,38.9,0.0,,,20260915
48465,D1,39.0,146.3,0.0,,,20260915
48467,D1,62.0,203.4,3.4,,,20260915
48469,D2,115.2,292.0,92.0,,,20260915
48471,D1,50.0,174.9,0.0,,,20260915
48473,D1,33.7,134.3,0.0,,,20260915
48475,D1,60.0,200.0,0.0,,,20260915
48477,D1,59.9,199.7,0.0,,,20260915
48479,D2,80.5,234.2,34.2,,,20260915
48481,D2,46.9,161.0,12.4,,,20260915
48483,D3,178.0,372.4,172.4,,,20260915
48485,D3,192.2,390.3,190.3,,,20260915
48487,D4,219.3,418.1,218.1,,,20260915
48489,D3,202.6,402.6,202.6,,,20260915
48491,D2,93.6,256.0,56.0,,,20260915
48493,D1,59.7,199.3,0.0,,,20260915
48495,D1,60.0,200.0,0.0,,,20260915
48497,D3,199.6,399.5,199.5,,,20260915
48499,D2,103.5,272.6,72.6,,,20260915
48501,D2,119.9,299.9,99.9,,,20260915
48503,D1,60.0,200.0,0.0,,,20260915
48505,D2,72.7,221.2,21.2,,,20260915
48507,D1,24.7,111.5,0.0,,,20260915
49001,D3,166.2,357.7,157.7,,,20260915
49003,D3,149.8,336.3,136.3,,,20260915
49005,D2,84.2,240.3,40.3,,,20260915
49007,D3,133.5,316.8,116.8,,,20260915
49009,D2,119.0,298.4,98.3,,,20260915
49011,D3,129.3,311.6,111.6,,,20260915
49013,D2,107.0,278.1,78.1,,,20260915
49015,D3,172.4,365.5,165.5,,,20260915
49017,D2,100.3,267.2,67.2,,,20260915
49019,D3,157.6,347.1,147.1,,,20260915
49021,D3,131.8,314.4,114.4,,,20260915
49023,D3,177.9,372.4,172.4,,,20260915
49025,D2,97.2,262.0,62.0,,,20260915
49027,D3,172.4,365.6,165.6,,,20260915
49029,D2,112.9,288.2,88.2,,,20260915
49031,D3,175.5,369.2,169.2,,,20260915
49033,D1,65.7,209.6,9.6,,,20260915
49035,D3,173.8,367.2,167.2,,,20260915
49037,D2,122.1,302.6,102.6,,,20260915
49039,D3,200.0,400.0,200.0,,,20260915
49041,D3,200.0,400.0,200.0,,,20260915
49043,D2,94.6,257.7,57.7,,,20260915
49045,D3,162.2,352.8,152.8,,,20260915
49047,D3,131.2,314.0,114.0,,,20260915
49049,D3,171.6,364.5,164.5,,,20260915
49051,D2,120.4,300.6,100.6,,,20260915
49053,D2,120.0,300.0,100.0,,,20260915
49055,D3,160.6,350.7,150.7,,,20260915
49057,D2,116.7,294.5,94.5,,,20260915
50001,None,0.8,3.9,0.0,,,20260915
50003,None,0.0,0.0,0.0,,,20260915
50005,D1,59.5,198.7,0.0,,,20260915
50007,D0,3.9,19.7,0.0,,,20260915
50009,D1,39.9,149.6,0.0,,,20260915
50011,D0,10.0,50.2,0.0,,,20260915
50013,None,0.0,0.0,0.0,,,20260915
50015,D0,20.3,100.7,0.0,,,20260915
50017,D1,52.8,182.1,0.0,,,20260915
50019,D1,49.9,174.8,0.0,,,20260915
50021,None,0.0,0.0,0.0,,,20260915
50023,D1,33.1,131.7,0.0,,,20260915
50025,None,0.4,2.2,0.0,,,20260915
50027,D0,7.4,37.0,0.0,,,20260915
51001,D1,25.5,113.8,0.0,,,20260915
51003,D0,21.1,100.8,0.0,,,20260915
51005,D0,20.0,100.0,0.0,,,20260915
51007,None,0.0,0.0,0.0,,,20260915
51009,D2,97.1,261.8,61.8,,,20260915
51011,D2,90.2,250.3,50.3,,,20260915
51013,D0,20.0,100.0,0.0,,,20260915
51015,D1,52.3,180.6,0.0,,,20260915
51017,D0,20.0,99.8,0.0,,,20260915
51019,D2,109.2,282.0,82.0,,,20260915
51021,None,1.5,7.3,0.0,,,20260915
51023,D2,69.5,208.0,31.4,,,20260915
51025,D2,84.1,229.6,59.3,,,20260915
51027,None,0.0,0.0,0.0,,,20260915
51029,D1,28.1,120.3,0.0,,,20260915
51031,D3,147.0,333.7,133.7,,,20260915
51033,D0,5.4,27.1,0.0,,,20260915
51035,D1,37.4,140.9,5.1,,,20260915
51036,D0,3.8,19.0,0.0,,,20260915
51037,D3,109.6,275.1,82.8,,,20260915
51041,None,0.0,0.0,0.0,,,20260915
51043,D1,59.2,197.9,0.0,,,20260915
51045,D1,24.6,111.6,0.0,,,20260915
51047,D0,9.4,46.8,0.0,,,20260915
51049,D0,8.1,40.6,0.0,,,20260915
51051,None,0.0,0.0,0.0,,,20260915
51053,D0,9.5,47.4,0.0,,,20260915
51057,D0,20.0,100.0,0.0,,,20260915
51059,D0,20.0,100.0,0.0,,,20260915
51061,D0,18.7,91.1,0.0,,,20260915
51063,D1,25.7,113.3,1.9,,,20260915
51065,D0,15.1,75.4,0.0,,,20260915
51067,D1,53.4,183.2,0.8,,,20260915
51069,D1,50.0,174.9,0.0,,,20260915
51071,D0,15.0,75.2,0.0,,,20260915
51073,D0,20.0,100.0,0.0,,,20260915
51075,None,0.0,0.0,0.0,,,20260915
51077,D1,33.9,134.7,0.0,,,20260915
51079,D0,20.0,100.0,0.0,,,20260915
51081,D2,96.2,252.8,71.6,,,20260915
51083,D3,170.5,363.1,163.2,,,20260915
51085,None,0.0,0.0,0.0,,,20260915
51087,None,0.0,0.0,0.0,,,20260915
51089,D2,90.4,250.0,50.0,,,20260915
51091,D0,15.1,75.5,0.0,,,20260915
51093,D1,24.6,111.5,0.0,,,20260915
51095,D0,13.9,69.6,0.0,,,20260915
51097,D0,20.0,100.0,0.0,,,20260915
51099,D0,20.0,100.0,0.0,,,20260915
51101,D0,4.2,21.1,0.0,,,20260915
51103,D0,20.0,100.0,0.0,,,20260915
51105,None,0.2,1.1,0.0,,,20260915
51107,D1,55.3,188.2,0.0,,,20260915
51109,None,0.2,0.9,0.0,,,20260915
51111,D1,44.9,157.4,9.7,,,20260915
51113,D0,17.1,85.3,0.0,,,20260915
51115,D0,20.0,100.0,0.0,,,20260915
51117,D2,110.0,282.9,82.9,,,20260915
51119,D0,20.0,100.0,0.0,,,20260915
51121,D1,28.9,122.2,0.0,,,20260915
51125,D1,47.7,169.1,0.0,,,20260915
51127,None,0.3,1.7,0.0,,,20260915
51131,D1,60.0,200.0,0.0,,,20260915
51133,D0,20.0,100.0,0.0,,,20260915
51135,D0,5.3,26.6,0.0,,,20260915
51137,None,1.2,6.1,0.0,,,20260915
51139,D1,30.8,127.1,0.0,,,20260915
51141,D2,94.2,256.9,57.0,,,20260915
51143,D3,173.9,367.0,167.0,,,20260915
51145,None,0.0,0.0,0.0,,,20260915
51147,D1,20.5,89.2,0.0,,,20260915
51149,D0,9.4,47.0,0.0,,,20260915
51153,D0,20.9,102.2,0.0,,,20260915
51155,D0,20.0,100.0,0.0,,,20260915
51157,D0,20.0,100.0,0.0,,,20260915
51159,D0,20.0,100.0,0.0,,,20260915
51161,D1,60.0,200.0,0.0,,,20260915
51163,D1,62.3,201.8,7.9,,,20260915
51165,D1,42.6,156.0,0.0,,,20260915
51167,None,0.0,0.0,0.0,,,20260915
51169,D0,5.3,26.7,0.0,,,20260915
51171,D1,57.3,193.3,0.0,,,20260915
51173,D0,8.1,40.2,0.0,,,20260915
51175,D2,99.3,264.5,67.6,,,20260915
51177,None,0.0,0.0,0.0,,,20260915
51179,D0,9.4,47.2,0.0,,,20260915
51181,D1,25.3,113.1,0.0,,,20260915
51183,D1,36.6,139.9,3.4,,,20260915
51185,None,0.0,0.0,0.0,,,20260915
51187,D1,29.9,124.8,0.0,,,20260915
51191,D0,2.1,10.4,0.0,,,20260915
51193,D0,20.0,100.0,0.0,,,20260915
51195,None,0.0,0.0,0.0,,,20260915
51197,D0,17.9,89.6,0.0,,,20260915
51199,D0,20.0,100.0,0.0,,,20260915
51510,D0,20.0,100.0,0.0,,,20260915
51520,None,0.0,0.0,0.0,,,20260915
51530,D1,60.0,200.0,0.0,,,20260915
51540,D0,20.0,100.0,0.0,,,20260915
